# sigma_NL DA0 DA1 DA2 DA3 DA4 H0 H1 H2 H3 H4 fs80 fs81 fs82 fs83 fs84 bs80 bs81 bs82 bs83 bs84
1.592537795932265610e+01 8.039551633602398795e+01 7.421250579741709430e+01 6.857837611143921208e+01 6.338025012661447732e+01 7.749075847743949907e+01 1.432694590142413062e+02 1.247209129971582371e+02 1.084183200701989023e+02 9.443456940161436819e+01 1.077391676351695082e+02 -2.873839778832352181e+02 -2.813987608531239175e+02 -2.728585754476658849e+02 -2.628842389891793232e+02 -3.346364162001798377e+02 -1.716227124358881611e+02 -1.697352190872516076e+02 -1.660128360290701721e+02 -1.611423982790395257e+02 -2.066539192335938253e+02
8.039551633602398795e+01 4.341869314431337443e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.986312065512498521e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.455007300120071704e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -7.945343033173600816e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.421250579741709430e+01 0.000000000000000000e+00 3.988022573341180760e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.460565079359498668e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.408128528805990936e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -7.779729382195065227e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.857837611143921208e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.684130530374117370e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.040932570143252633e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.359075749067279685e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -7.577973105241126177e+03 0.000000000000000000e+00 0.000000000000000000e+00
6.338025012661447732e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.418404468906964667e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.704520458621851958e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.307734849501308418e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -7.351335280768162193e+03 0.000000000000000000e+00
7.749075847743949907e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.205119487261975337e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.863558312380035886e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.669203399118869493e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -9.451823291926191814e+03
1.432694590142413062e+02 2.986312065512498521e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.727160317342189956e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.351642088183746637e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.739908369135221619e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.247209129971582371e+02 0.000000000000000000e+00 2.460565079359498668e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.461972707570300372e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.649555054901443327e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -5.925445946438951069e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.084183200701989023e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.040932570143252633e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.848399807086077089e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.737697727179454887e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -5.188275545566046276e+03 0.000000000000000000e+00 0.000000000000000000e+00
9.443456940161436819e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.704520458621851958e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.693353525546347555e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.702319843378106725e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -4.540942883032808822e+03 0.000000000000000000e+00
