# sigma_NL DA0 DA1 DA2 DA3 DA4 DA5 H0 H1 H2 H3 H4 H5 fs80 fs81 fs82 fs83 fs84 fs85 bs80 bs81 bs82 bs83 bs84 bs85
8.426797858664880041e+05 7.270129268370595528e+05 8.139672901514780242e+05 9.024310997430845164e+05 1.001228051147465128e+06 1.105663982051628642e+06 1.216420659372524358e+06 1.811696761868905276e+06 1.973381087264387403e+06 2.143399092909595463e+06 2.318794333656752482e+06 2.501162847749155015e+06 2.690284850349067245e+06 -4.015662652234686073e+06 -4.479907368356926367e+06 -4.976186637381343171e+06 -5.505300604111324064e+06 -6.068032906469671987e+06 -6.665151204057396390e+06 -2.315518832943805493e+06 -2.584626154307958204e+06 -2.872456281282437500e+06 -3.179486060940766707e+06 -3.506182677386586554e+06 -3.853003955715428572e+06
7.270129268370595528e+05 7.245051530589064583e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.365713217459876090e+07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.638678093555129319e+07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.013384359784181044e+07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.139672901514780242e+05 0.000000000000000000e+00 7.900474858690992929e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.453531652072505839e+07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.875732264601964131e+07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.196555201289638132e+07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.024310997430845164e+05 0.000000000000000000e+00 0.000000000000000000e+00 8.582071173289421946e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.536951674729990959e+07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.072118175317646936e+07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.378989296970887482e+07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.001228051147465128e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.309128983085839078e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.626329676755204797e+07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.319389217281691357e+07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.577628517562193424e+07 0.000000000000000000e+00 0.000000000000000000e+00
1.105663982051628642e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.007506582407566905e+07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.715647205874560773e+07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.569071689228189737e+07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.783579262607107684e+07 0.000000000000000000e+00
1.216420659372524358e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.086464227187051997e+07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.806239026348816603e+07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.808398431458511949e+07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.994520464327773079e+07
1.811696761868905276e+06 1.365713217459876090e+07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.345754037634130940e+07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.231758262859398127e+07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -4.173419220007050037e+07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.973381087264387403e+06 0.000000000000000000e+00 1.453531652072505839e+07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.463743211576888710e+07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.673613038368145376e+07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -4.437125110011415929e+07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.143399092909595463e+06 0.000000000000000000e+00 0.000000000000000000e+00 1.536951674729990959e+07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.584519477129133791e+07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -7.126279689598001540e+07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -4.706627391832322627e+07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
